Cond,Cond_Item,word1,word2
Tax,target,pants,hat
Tax,distractor,pants,train
Tax,distractor,pants,refrigerator
Tax,distractor,pants,bear
Tax,target,boat,train
Tax,distractor,boat,bear
Tax,distractor,boat,hat
Tax,distractor,boat,refrigerator
Tax,target,vacuum,refrigerator
Tax,distractor,vacuum,hat
Tax,distractor,vacuum,bear
Tax,distractor,vacuum,train
Tax,target,frog,bear
Tax,distractor,frog,refrigerator
Tax,distractor,frog,train
Tax,distractor,frog,hat
Tax,target,squirrel,duck
Tax,distractor,squirrel,soap
Tax,distractor,squirrel,blocks
Tax,distractor,squirrel,tomato
Tax,target,doll,blocks
Tax,distractor,doll,duck
Tax,distractor,doll,tomato
Tax,distractor,doll,soap
Tax,target,towel,soap
Tax,distractor,towel,tomato
Tax,distractor,towel,duck
Tax,distractor,towel,blocks
Tax,target,banana,tomato
Tax,distractor,banana,blocks
Tax,distractor,banana,soap
Tax,distractor,banana,duck
Tax,target,boots,coat
Tax,distractor,boots,butterfly
Tax,distractor,boots,peas
Tax,distractor,boots,tractor
Tax,target,tiger,butterfly
Tax,distractor,tiger,tractor
Tax,distractor,tiger,coat
Tax,distractor,tiger,peas
Tax,target,cake,peas
Tax,distractor,cake,coat
Tax,distractor,cake,tractor
Tax,distractor,cake,butterfly
Tax,target,stroller,tractor
Tax,distractor,stroller,peas
Tax,distractor,stroller,butterfly
Tax,distractor,stroller,coat
Tax,target,digger,bus
Tax,distractor,digger,dress
Tax,distractor,digger,cat
Tax,distractor,digger,sandwich
Tax,target,cucumber,sandwich
Tax,distractor,cucumber,cat
Tax,distractor,cucumber,dress
Tax,distractor,cucumber,bus
Tax,target,bee,cat
Tax,distractor,bee,bus
Tax,distractor,bee,sandwich
Tax,distractor,bee,dress
Tax,target,socks,dress
Tax,distractor,socks,sandwich
Tax,distractor,socks,bus
Tax,distractor,socks,cat
Tax,target,bath,sofa
Tax,distractor,bath,bicycle
Tax,distractor,bath,carrots
Tax,distractor,bath,turtle
Tax,target,cow,turtle
Tax,distractor,cow,carrots
Tax,distractor,cow,bicycle
Tax,distractor,cow,sofa
Tax,target,strawberries,carrots
Tax,distractor,strawberries,sofa
Tax,distractor,strawberries,turtle
Tax,distractor,strawberries,bicycle
Tax,target,truck,bicycle
Tax,distractor,truck,turtle
Tax,distractor,truck,sofa
Tax,distractor,truck,carrots
Tax,target,toast,pears
Tax,distractor,toast,tv
Tax,distractor,toast,horse
Tax,distractor,toast,carrots
Tax,target,helicopter,car
Tax,distractor,helicopter,horse
Tax,distractor,helicopter,tv
Tax,distractor,helicopter,pears
Tax,target,cot,tv
Tax,distractor,cot,car
Tax,distractor,cot,pears
Tax,distractor,cot,horse
Tax,target,penguin,horse
Tax,distractor,penguin,pears
Tax,distractor,penguin,car
Tax,distractor,penguin,tv
Assoc,target,sky,rocket
Assoc,distractor,sky,shovel
Assoc,distractor,sky,window
Assoc,distractor,sky,carrots
Assoc,target,rabbit,carrots
Assoc,distractor,rabbit,rocket
Assoc,distractor,rabbit,shovel
Assoc,distractor,rabbit,window
Assoc,target,curtains,window
Assoc,distractor,curtains,carrots
Assoc,distractor,curtains,rocket
Assoc,distractor,curtains,shovel
Assoc,target,wateringcan,shovel
Assoc,distractor,wateringcan,window
Assoc,distractor,wateringcan,carrots
Assoc,distractor,wateringcan,rocket
Assoc,target,hair,brush
Assoc,distractor,hair,house
Assoc,distractor,hair,flowers
Assoc,distractor,hair,camera
Assoc,target,key,house
Assoc,distractor,key,camera
Assoc,distractor,key,brush
Assoc,distractor,key,flowers
Assoc,target,butterfly,flowers
Assoc,distractor,butterfly,brush
Assoc,distractor,butterfly,camera
Assoc,distractor,butterfly,house
Assoc,target,photo,camera
Assoc,distractor,photo,flowers
Assoc,distractor,photo,house
Assoc,distractor,photo,brush
Assoc,target,banana,monkey
Assoc,distractor,banana,can
Assoc,distractor,banana,cup
Assoc,distractor,banana,road
Assoc,target,milk,cup
Assoc,distractor,milk,monkey
Assoc,distractor,milk,road
Assoc,distractor,milk,can
Assoc,target,garbage,can
Assoc,distractor,garbage,road
Assoc,distractor,garbage,monkey
Assoc,distractor,garbage,cup
Assoc,target,car,road
Assoc,distractor,car,cup
Assoc,distractor,car,can
Assoc,distractor,car,monkey
Assoc,target,party,balloon
Assoc,distractor,party,paper
Assoc,distractor,party,tree
Assoc,distractor,party,spoon
Assoc,target,book,paper
Assoc,distractor,book,balloon
Assoc,distractor,book,spoon
Assoc,distractor,book,tree
Assoc,target,squirrel,tree
Assoc,distractor,squirrel,spoon
Assoc,distractor,squirrel,paper
Assoc,distractor,squirrel,balloon
Assoc,target,table,spoon
Assoc,distractor,table,tree
Assoc,distractor,table,balloon
Assoc,distractor,table,paper
Assoc,target,shoes,feet
Assoc,distractor,shoes,sheep
Assoc,distractor,shoes,bowl
Assoc,distractor,shoes,soap
Assoc,target,farm,sheep
Assoc,distractor,farm,feet
Assoc,distractor,farm,soap
Assoc,distractor,farm,bowl
Assoc,target,cereal,bowl
Assoc,distractor,cereal,soap
Assoc,distractor,cereal,feet
Assoc,distractor,cereal,sheep
Assoc,target,bath,soap
Assoc,distractor,bath,bowl
Assoc,distractor,bath,sheep
Assoc,distractor,bath,feet
Assoc,target,baby,stroller
Assoc,distractor,baby,button
Assoc,distractor,baby,cushion
Assoc,distractor,baby,swing
Assoc,target,park,swing
Assoc,distractor,park,stroller
Assoc,distractor,park,button
Assoc,distractor,park,cushion
Assoc,target,sofa,cushion
Assoc,distractor,sofa,swing
Assoc,distractor,sofa,stroller
Assoc,distractor,sofa,button
Assoc,target,coat,button
Assoc,distractor,coat,cushion
Assoc,distractor,coat,swing
Assoc,distractor,coat,stroller
