Cond,Cond_Prime,Cond_Item,word1,word2
Assoc,Rel,target,diaper,baby
Assoc,Rel,distractor,diaper,rabbit
Assoc,Rel,target,hand,gloves
Assoc,Rel,distractor,hand,glass
Assoc,Rel,target,toys,child
Assoc,Rel,distractor,toys,chicken
Assoc,Rel,target,carrots,rabbit
Assoc,Rel,distractor,carrots,baby
Assoc,Rel,target,egg,chicken
Assoc,Rel,distractor,egg,child
Assoc,Rel,target,picture,book
Assoc,Rel,distractor,picture,bottle
Assoc,Rel,target,feet,socks
Assoc,Rel,distractor,feet,swing
Assoc,Rel,target,soap,bath
Assoc,Rel,distractor,soap,bread
Assoc,Rel,target,knife,bread
Assoc,Rel,distractor,knife,bath
Assoc,Rel,target,cup,milk
Assoc,Rel,distractor,cup,monkey
Assoc,Rel,target,cereal,bowl
Assoc,Rel,distractor,cereal,bird
Assoc,Rel,target,plate,cake
Assoc,Rel,distractor,plate,keys
Assoc,Rel,target,park,swing
Assoc,Rel,distractor,park,socks
Assoc,Rel,target,door,keys
Assoc,Rel,distractor,door,cake
Assoc,Rel,target,water,bottle
Assoc,Rel,distractor,water,book
Assoc,Rel,target,banana,monkey
Assoc,Rel,distractor,banana,milk
Assoc,Rel,target,sky,bird
Assoc,Rel,distractor,sky,bowl
Assoc,Rel,target,juice,glass
Assoc,Rel,distractor,juice,gloves
Tax,Rel,target,plate,bottle
Tax,Rel,distractor,plate,bird
Tax,Rel,target,biscuit,carrots
Tax,Rel,distractor,biscuit,cot
Tax,Rel,target,coat,socks
Tax,Rel,distractor,coat,spoon
Tax,Rel,target,dog,chicken
Tax,Rel,distractor,dog,cheese
Tax,Rel,target,table,bed
Tax,Rel,distractor,table,bicycle
Tax,Rel,target,lion,monkey
Tax,Rel,distractor,lion,milk
Tax,Rel,target,rabbit,horse
Tax,Rel,distractor,rabbit,hat
Tax,Rel,target,airplane,car
Tax,Rel,distractor,airplane,cake
Tax,Rel,target,diaper,shoes
Tax,Rel,distractor,diaper,sheep
Tax,Rel,target,cow,bird
Tax,Rel,distractor,cow,bottle
Tax,Rel,target,chair,cot
Tax,Rel,distractor,chair,carrots
Tax,Rel,target,glass,spoon
Tax,Rel,distractor,glass,socks
Tax,Rel,target,orange,cheese
Tax,Rel,distractor,orange,chicken
Tax,Rel,target,truck,bicycle
Tax,Rel,distractor,truck,bed
Tax,Rel,target,water,milk
Tax,Rel,distractor,water,monkey
Tax,Rel,target,bib,hat
Tax,Rel,distractor,bib,horse
Tax,Rel,target,apple,cake
Tax,Rel,distractor,apple,car
Tax,Rel,target,cat,sheep
Tax,Rel,distractor,cat,shoes
Assoc,Unrel,target,knife,baby
Assoc,Unrel,distractor,knife,rabbit
Assoc,Unrel,target,egg,gloves
Assoc,Unrel,distractor,egg,glass
Assoc,Unrel,target,banana,child
Assoc,Unrel,distractor,banana,chicken
Assoc,Unrel,target,plate,rabbit
Assoc,Unrel,distractor,plate,baby
Assoc,Unrel,target,door,chicken
Assoc,Unrel,distractor,door,child
Assoc,Unrel,target,carrots,book
Assoc,Unrel,distractor,carrots,bottle
Assoc,Unrel,target,cereal,socks
Assoc,Unrel,distractor,cereal,swing
Assoc,Unrel,target,hand,bath
Assoc,Unrel,distractor,hand,bread
Assoc,Unrel,target,cup,bread
Assoc,Unrel,distractor,cup,bath
Assoc,Unrel,target,toys,milk
Assoc,Unrel,distractor,toys,monkey
Assoc,Unrel,target,feet,bowl
Assoc,Unrel,distractor,feet,bird
Assoc,Unrel,target,diaper,cake
Assoc,Unrel,distractor,diaper,keys
Assoc,Unrel,target,water,swing
Assoc,Unrel,distractor,water,socks
Assoc,Unrel,target,park,keys
Assoc,Unrel,distractor,park,cake
Assoc,Unrel,target,sky,bottle
Assoc,Unrel,distractor,sky,book
Assoc,Unrel,target,picture,monkey
Assoc,Unrel,distractor,picture,milk
Assoc,Unrel,target,juice,bird
Assoc,Unrel,distractor,juice,bowl
Assoc,Unrel,target,soap,glass
Assoc,Unrel,distractor,soap,gloves
Tax,Unrel,target,truck,bottle
Tax,Unrel,distractor,truck,bird
Tax,Unrel,target,dog,carrots
Tax,Unrel,distractor,dog,cot
Tax,Unrel,target,cat,socks
Tax,Unrel,distractor,cat,spoon
Tax,Unrel,target,bib,chicken
Tax,Unrel,distractor,bib,cheese
Tax,Unrel,target,apple,bed
Tax,Unrel,distractor,apple,bicycle
Tax,Unrel,target,chair,monkey
Tax,Unrel,distractor,chair,milk
Tax,Unrel,target,biscuit,horse
Tax,Unrel,distractor,biscuit,hat
Tax,Unrel,target,cow,car
Tax,Unrel,distractor,cow,cake
Tax,Unrel,target,orange,shoes
Tax,Unrel,distractor,orange,sheep
Tax,Unrel,target,coat,bird
Tax,Unrel,distractor,coat,bottle
Tax,Unrel,target,lion,cot
Tax,Unrel,distractor,lion,carrots
Tax,Unrel,target,rabbit,spoon
Tax,Unrel,distractor,rabbit,socks
Tax,Unrel,target,airplane,cheese
Tax,Unrel,distractor,airplane,chicken
Tax,Unrel,target,table,bicycle
Tax,Unrel,distractor,table,bed
Tax,Unrel,target,diaper,milk
Tax,Unrel,distractor,diaper,monkey
Tax,Unrel,target,plate,hat
Tax,Unrel,distractor,plate,horse
Tax,Unrel,target,glass,cake
Tax,Unrel,distractor,glass,car
Tax,Unrel,target,water,sheep
Tax,Unrel,distractor,water,shoes
