Cond_Prime,Cond_Item,word1,word2
Rel,target,cat,dog
Rel,distractor,cat,boat
Rel,target,sheep,cow
Rel,distractor,sheep,toast
Rel,target,apple,banana
Rel,distractor,apple,lion
Rel,target,boots,shoes
Rel,distractor,boots,bread
Rel,target,plate,cup
Rel,distractor,plate,stroller
Rel,target,cot,bed
Rel,distractor,cot,chicken
Unrel,target,train,horse
Unrel,distractor,train,socks
Unrel,target,truck,mouse
Unrel,distractor,truck,table
Unrel,target,elephant,cake
Unrel,distractor,elephant,pants
Unrel,target,hat,bus
Unrel,distractor,hat,monkey
Unrel,target,pig,car
Unrel,distractor,pig,bowl
Unrel,target,biscuit,coat
Unrel,distractor,biscuit,bear
Unrel,target,plate,dog
Unrel,distractor,plate,boat
Unrel,target,boots,cow
Unrel,distractor,boots,toast
Unrel,target,cot,banana
Unrel,distractor,cot,lion
Unrel,target,cat,shoes
Unrel,distractor,cat,bread
Unrel,target,sheep,cup
Unrel,distractor,sheep,stroller
Unrel,target,apple,bed
Unrel,distractor,apple,chicken
Rel,target,pig,horse
Rel,distractor,pig,socks
Rel,target,elephant,mouse
Rel,distractor,elephant,table
Rel,target,biscuit,cake
Rel,distractor,biscuit,pants
Rel,target,train,bus
Rel,distractor,train,monkey
Rel,target,truck,car
Rel,distractor,truck,bowl
Rel,target,hat,coat
Rel,distractor,hat,bear
